"gvkey","conm","price_2023","price_2024","eps_2023","eps_2024"
"276762","CAP-XX",0.0148,NA,-0.0105,NA
"201025","CAPE RANGE LTD",0.12,NA,-0.0059,NA
"278101","CAPITOL HEALTH LTD",0.21,0.365,-0.0108,-0.014
"101420","CAPRAL LIMITED",9.3,NA,1.7747,NA
"328125","CAPRICE RESOURCES LTD",0.036,0.028,-0.0127,-0.0085
"289353","CAPRICORN METALS LTD",4.12,5.75,0.0118,0.2313
"292734","CAR GROUP LTD",27.94,37.46,1.8126,0.6631
"281428","CARAVEL MINERALS LTD",0.16,0.18,-0.0244,-0.0123
"325932","CARAWINE RESOURCES LTD",0.15,0.094,-0.006,-0.0051
"283453","CARBINE RESOURCES LTD",0.005,NA,-0.0025,NA
"326221","CARBONXT GROUP LIM",0.064,0.068,-0.0247,-0.0273
"274416","CARDIEX LTD",0.135,0.059,-0.1452,-0.0337
"270850","CARDNO LTD",0.28,0.335,-0.0157,0.1931
"351625","CARETEQ LIMITED",0.022,0.012,-0.035,-0.0085
"253366","CARLY HOLDINGS LTD",0.017,0.013,-0.0178,-0.0157
"324099","CARNABY RESOURCES LTD",0.88,0.455,-0.0829,-0.0737
"248809","CARNARVON ENERGY LIMITED",0.16,0.155,-0.0023,-4e-04
"283454","CARNAVALE RESOURCES LTD",0.007,0.004,-2e-04,-2e-04
"221095","CARNEGIE CLEAN ENERGY LTD",0.002,0.038,0,-0.0074
"339783","CASPIN RESOURCES LTD",0.14,0.054,-0.1439,-0.0268
"278629","CASSIUS MINING LTD",0.031,0.006,-0.0019,-0.0029
"336572","CASTILE RESOURCES LTD",0.051,0.078,-0.0059,-0.0028
"296276","CASTILLO COPPER LTD",0.008,0.004,-0.0053,-0.0011
"277181","CASTLE MINERALS LTD",0.0095,0.003,-0.0054,-0.0024
"294022","CATALINA RESOURCES LTD",0.005,0.004,-0.0012,-7e-04
"278526","CATALYST METALS LTD",0.565,2.75,-0.1264,0.1069
"318957","CATAPULT GROUP INTL",1.89,NA,-0.0697,NA
"272294","CAULDRON ENERGY LTD",0.013,0.02,-0.0032,-0.0044
"352968","CAVALIER RESOURCES LTD",0.135,0.15,-0.0177,-0.017
"259002","CAZALY RESOURCES LTD",0.04,0.015,-0.0057,-0.0019
"235645","CELSIUS RESOURCES LTD",0.012,0.012,-0.0034,-0.001
"253482","CENTAURUS METALS LTD",0.3,NA,-0.0895,NA
"275680","CENTRAL PETROLEUM LTD",0.052,0.0545,-0.0109,0.0168
"278405","CENTREX LIMITED",0.074,0.04,-0.0156,-0.0264
"345968","CETTIRE LIMITED",2.88,1.865,0.0419,0.0278
"324095","CFOAM LTD",0.002,NA,-2e-04,NA
"275872","CHALICE MINING LTD",2.32,1.54,-0.1738,-0.1041
"287503","CHALLENGER GOLD LTD",0.08,NA,0.047,NA
"179107","CHAMPION IRON LTD",4.24,NA,0.45,NA
"321887","CHANGE FINANCIAL LTD",0.059,0.075,-0.0054,-0.0041
"348984","CHARGER METALS NL",0.125,0.086,-0.0267,-0.0337
"358383","CHARIOT CORPORATION LIMITED",0.29,NA,-0.1048,NA
"284813","CHESSER RESOURCES LTD",0.105,NA,-0.0084,NA
"356710","CHILWA MINERALS LIMITED",NA,0.98,NA,-0.026
"346047","CHIMERIC THERAPEUTICS LTD",0.028,0.014,-0.0598,-0.018
"308388","CHORUS LTD",7.07,7.95,0.0564,-0.0207
"353008","CHRYSOS CORPORATION LIMITED",6.29,5.75,0.0045,-0.0065
"260483","CIRRUS NETWORKS HOLDINGS LTD",0.06,NA,0.0019,NA
"211557","CITIGOLD CORP LTD",0.004,0.005,-8e-04,-8e-04
"241401","CITY CHIC COLLECTIVE LTD",0.38,0.135,-0.1942,-0.165
"295646","CLARA RESOURCES AUSTRALIA",0.023,0.009,-0.0711,-0.0278
"349739","CLARITY PHARMACEUTICALS LTD",1.17,8.38,-0.0948,-0.1549
"315417","CLASSIC MINERALS LTD",0.001,NA,-0.0116,NA
"274762","CLEAN SEAS SEAFOOD LTD",0.47,0.155,0.0362,-0.1812
"349405","CLEAN TEQ WATER LTD",0.39,0.33,-0.0951,-0.0504
"272847","CLEANAWAY WASTE MGMT LTD",2.43,2.94,0.0098,0.0703
"340282","CLEANSPACE HOLDINGS LIMITED",0.29,0.5,-0.1056,-0.0405
"327074","CLEARVUE TECHNOLOG",0.33,0.455,-0.0349,-0.0544
"278652","CLEVER CULTURE SYSTEMS LTD",0.011,0.016,-0.0683,-0.004
"249488","CLINUVEL PHARMACEUTICALS LTD",14.71,14.02,0.6194,0.7151
"351195","CLOSE THE LOOP LTD",0.37,0.21,0.0323,0.0208
"242643","CLOVER CORP LTD",0.89,0.515,0.0372,0.0091
"344058","CLUEY LTD",0.094,0.036,-0.1254,-0.0684
"323619","COBALT BLUE HLDGS",0.255,0.082,-0.0155,-0.098
"349886","COBRAM ESTATE OLIVES LTD",1.35,1.7,0.0186,0.0445
"336879","COBRE LIMITED",0.054,0.074,-0.0072,-0.008
"212635","COCHLEAR LTD",255.32,282.09,4.571,5.4443
"333058","CODA MINERALS LTD",0.185,0.09,-0.0573,-0.0306
"259267","CODAN LTD",7.9,16.12,0.3746,0.4495
"272497","CODEIFAI LIMITED",0.002,NA,-0.007,NA
"348632","CODRUS MINERALS LIMITED",0.067,0.02,-0.0358,-0.0339
"278953","COGENT DEVELOPMENT GROUP LTD",0.011,NA,0,NA
"260641","COGSTATE LTD",1.525,1.035,0.0206,0.0317
"248146","COKAL LTD",0.125,0.08,-0.0086,-0.0091
"329498","COLES GROUP LTD",15.56,18.06,0.7811,0.8456
"298537","COLLINS FOODS LTD",9.16,NA,0.4735,NA
"247687","COMET RESOURCES LTD",0.2,NA,-0.0295,NA
"270219","COMET RIDGE LTD",0.165,0.175,-0.0067,-0.0068
"326098","COMMS GROUP LIMITED",0.076,0.076,-0.0015,-3e-04
"345930","COMPLII FINTECH SOLUTIONS LT",0.04,0.026,-0.0105,-0.0093
"242341","COMPUMEDICS LTD",0.185,0.3,-0.0346,-0.0019
"273035","CONDOR ENERGY LTD",0.014,0.033,-0.0144,-0.0065
"285096","CONICO LTD",0.006,0.002,-6e-04,-0.0215
"247359","CONNECTED MINERALS LIMITED",0.018,0.36,-0.0014,-0.0013
"251620","CONNEXION MOBILITY LTD",0.023,0.027,0.0019,0.002
"327268","CONSTELLATION RESO",0.165,0.155,-0.0255,-0.0362
"242599","CONSTELLATION TECHNOLOGIES",0.002,0.002,-1e-04,-1e-04
"345696","CONTROL BIONICS LIMITED",0.073,0.068,-0.0624,-0.0371
"353327","COOLABAH METALS LTD",0.056,0.07,-0.052,-0.0258
"350661","COOPER METALS LTD",0.12,0.054,-0.0225,-0.0218
"349939","COPPER SEARCH LIMITED",0.2,0.057,-0.0429,-0.0451
"272241","COPPER STRIKE LTD",0.155,0.155,-0.02,0
"290342","COPPERMOLY LIMITED",0.012,0.011,-4e-04,-0.0016
"273250","CORAZON MINING LTD",0.012,0.005,-0.0011,-0.0043
"304129","CORE LITHIUM LTD",0.405,0.13,0.0059,-0.0988
"296280","CORPORATE TRAVEL MGMT LTD",16.85,12.9,0.5307,0.5787
"351700","COSMO METALS LTD",0.053,0.028,-0.0136,-0.0186
"350559","COSMOS EXPLORATION LIMITED",0.37,0.055,-0.0566,-0.0683
"336993","COSOL LTD",0.885,0.945,0.0543,0.0498
"201317","COVENTRY GROUP LTD",1.05,1.26,0.0268,0.0068
"248816","CPT GLOBAL LTD",0.12,0.076,-0.0492,-0.0379
"343910","CREDIT CLEAR LIMITED",0.19,0.32,-0.0296,-0.0108
"291150","CREDIT INTELLIGENCE LTD",0.145,0.11,-0.0697,-0.1186
"279180","CRITICA LIMITED",0.01,0.015,-0.0052,-0.0029
"353422","CRITICAL MINERALS GROUP LTD",0.235,0.2,-0.0326,-0.0324
"296032","CRITICAL RESOURCES LTD",0.014,NA,-0.0027,NA
"253324","CRYOSITE LTD",0.65,0.8,0.0289,0.0377
"223003","CSL LTD",250.8,286.28,4.5502,5.4699
"017544","CSR LTD",8.97,NA,0.4848,NA
"221464","CTI LOGISTICS LTD",1.51,1.77,0.2227,0.2049
"201350","CUE ENERGY RESOURCES LTD",0.062,0.096,0.0218,0.0203
"274273","CUFE LTD",0.015,0.008,-0.0115,-0.012
"227297","CULLEN RESOURCES NL",0.01,0.006,-0.0025,-0.0021
"349569","CULPEO MINERALS LTD",0.032,0.029,-0.0447,-0.0191
"253524","CYCLONE METALS LTD",0.001,0.001,-8e-04,-5e-04
"282321","CYCLOPHARM LTD",1.795,NA,-0.0507,NA
"326368","CYGNUS METALS LIMITED",0.051,NA,-0.0584,NA
"290330","CYNATA THERAPEUTICS LTD",0.13,0.215,-0.0984,-0.0543
"210260","CYPRIUM METALS LTD",0.019,NA,-0.0201,NA
"278749","CZR RESOURCES LTD",0.145,0.275,-0.0321,0.0445
"314073","DACIAN GOLD LTD",0.105,NA,-0.0517,NA
"350296","DALAROO METALS LTD",0.052,0.025,-0.0449,-0.0193
"345710","DALRYMPLE BAY INFRASTRUCTURE",2.74,NA,0.1491,NA
"334105","DAMSTRA HOLDINGS LTD",0.1,NA,-0.2175,NA
"259075","DANAKALI LTD",0.41,NA,0.0041,NA
"284647","DART MINING NL",0.021,0.016,-0.0059,-0.0082
"242679","DATA3 LTD",7.08,7.58,0.2396,0.28
"271835","DATADOT TECHNOLOGY LTD",0.003,0.003,-1e-04,1e-04
"304887","DATELINE RESOURCES LTD",0.012,0.005,-0.0188,-0.0142
"346518","DDH 1 DRILLING PTY LTD",0.84,NA,0.1032,NA
"253326","DE GREY MINING LTD",1.115,1.39,-0.0125,-0.0093
"323771","DE MEM LIMITED",0.14,NA,-0.0128,NA
"272816","DECMIL GROUP LTD",0.17,NA,-0.0119,NA
"102202","DEEP YELLOW LTD",1.315,1.375,-0.0142,-0.0131
"347054","DELOREAN CORPORATION LTD",0.023,0.1,-0.0464,0.0221
"325305","DELTA LITHIUM LIMITED",0.75,0.235,-0.0218,-0.0197
"345461","DESERT METALS LIMITED",0.042,0.022,-0.0103,-0.0621
"248766","DESIGN MILK CO LTD",0.3,NA,0,NA
"354754","DESOTO RESOURCES LTD",0.12,0.11,-0.0224,-0.019
"342576","DETERRA ROYALTIES LTD",4.79,4.04,0.2885,0.293
"284635","DEVELOP GLOBAL LIMITED",3.45,2.48,-0.1072,-0.0537
"248789","DEVEX RESOURCES LTD",0.37,0.165,-0.036,-0.0258
"203209","DGL GROUP LIMITED",0.89,0.47,0.0679,0.0503
"260559","DGR GLOBAL LTD",0.026,0.016,-0.0091,-0.0447
"350697","DIABLO RESOURCES LIMITED",0.045,0.016,-0.0557,-0.1039
"273189","DIATREME RESOURCES LTD",0.0205,NA,0.0028,NA
"296603","DICKER DATA LTD",10.77,NA,0.4559,NA
"253380","DIGITAL X LTD",0.029,0.042,-0.0102,-0.0061
"253528","DIMERIX LTD",0.061,0.375,-0.0424,-0.0377
"313552","DISCOVERY ALASKA LIMITED",0.019,0.01,-0.0018,-0.0068
"352079","DMC MINING LIMITED",0.067,0.058,-0.0455,-0.0601
"325957","DOMAIN HOLDINGS AUSTRALIA LT",4,3.2,0.058,0.0689
"317333","DOME GOLD MINES LTD",0.185,0.1,-0.0085,-0.0061
"271323","DOMINION MINERALS LIMITED",0.032,NA,-0.0107,NA
"273011","DOMINOS PIZZA ENTERPRISES LT",53.18,35.45,0.7615,1.0269
"271731","DONACO INTERNATIONAL LTD",0.04,0.032,-0.0298,0.03
"316874","DORSAVI LTD",0.011,0.01,-0.0039,-0.0023
"287635","DOTZ NANO LTD",0.165,NA,-0.0137,NA
"340294","DOUUGH PTY LTD",0.006,0.005,-0.0066,-0.0014
"241380","DOWNER EDI LTD",4.12,5.48,-0.5903,0.0837
"348969","DRA GLOBAL LTD",2.11,NA,0.3611,NA
"285561","DRAGON MOUNTAIN GOLD LTD",0.009,0.006,-0.0013,-7e-04
"279626","DREADNOUGHT RESOURCES LTD",0.047,0.016,-0.0018,-0.0018
"321849","DRONESHIELD LTD",0.74,NA,0.0201,NA
"318811","DTI GROUP LTD",0.02,0.009,-0.0021,-0.0056
"253398","DUBBER CORP LTD",0.145,0.03,-0.2253,-0.0876
"339026","DUG TECHNOLOGY LTD",1.9,2.53,0.0424,0.0234
"318151","DUKETON MINING LTD",0.305,0.12,-0.0234,-0.0285
"343951","DURATEC LIMITED",1.29,1.42,0.0791,0.0866
"340392","DUSK GROUP LIMITED",1,1.155,0.1861,0.0685
"322467","DUXTON WATER LTD",1.53,NA,0.048,NA
"327032","DXN LIMITED",0.002,0.079,-0.0057,-0.0155
"356597","DY6 METALS LTD",0.14,0.045,-0.1045,-0.0268
"338975","DYNAMIC GROUP HOLDINGS LTD",0.255,0.26,0.0155,-0.062
"355181","DYNAMIC METALS LTD",0.205,0.195,-0.0366,0.059
"324114","E-PLUS LTD",0.15,NA,-0.0026,NA
"221877","EAGERS AUTOMOTIVE LTD",14.16,NA,1.1074,NA
"326562","EAGLE MOUNTAIN MIN",0.077,0.05,-0.0476,-0.0197
"294057","EARLYPAY LTD",0.255,0.185,-0.0268,0.0086
"313562","EARTHS ENERGY LIMITED",0.041,0.018,-0.0019,-0.0028
"350258","EASTERN METALS LTD",0.033,0.02,-0.0451,-0.0225
"288926","EASTERN RESOURCES LIMITED",0.01,0.004,-6e-04,-7e-04
"201739","EBOS GROUP LTD",34.2,36.14,1.3293,1.4131
"296321","ECHO IQ LIMITED",0.195,0.225,-0.0184,-0.0109
"296882","ECLIPSE METALS LTD",0.013,0.006,-0.0013,-6e-04
"331130","ECOFIBRE LTD",0.18,0.032,-0.1189,-0.118
"314652","ECOGRAF LTD",0.11,0.092,-0.0162,-0.0125
"332970","ECS BOTANICS HOLDINGS LTD",0.021,0.019,4e-04,0.0016
"277955","EDEN INNOVATIONS LTD",0.003,0.002,-0.0064,-0.0022
"271317","EDU HOLDINGS LIMITED",0.1,NA,-0.0171,NA
"318006","ELANOR INVESTORS GROUP",1.53,NA,-0.1409,NA
"202362","ELDERS LTD",7.53,NA,0.6444,NA
"249495","ELECTRO OPTIC SYSTEMS LTD",1.655,NA,-0.209,NA
"281479","ELEMENT 25 LTD",0.41,0.335,-0.1426,-0.0986
"293625","ELEMENTOS LTD",0.13,0.087,-0.0123,-0.0066
"210904","ELEVATE URANIUM LTD",0.55,0.4,-0.0319,-0.0365
"326371","ELIXINOL WELLNESS LTD",0.005,NA,-0.0159,NA
"271303","ELIXIR ENERGY LTD",0.066,0.175,-0.0032,-0.0014
"253388","ELMORE LTD",0.005,NA,-0.0192,NA
"324500","ELSIGHT LTD",0.37,NA,-0.0245,NA
"249486","EMBELTON LTD",10.5,8.6,0.4402,0.5843
"278546","EMECO HOLDINGS LTD",0.63,0.76,0.0799,0.102
"246015","EMERALD RESOURCES NL",2.7,3.86,0.121,0.1357
"316196","EMETALS LTD",0.008,0.004,0.0044,-0.0067
"275186","EML PAYMENTS LTD",1.175,0.65,-0.7618,-0.0257
"287692","EMMERSON RESOURCES LTD",0.063,0.043,-0.0047,-0.0054
"279419","EMPEROR ENERGY LTD",0.013,0.017,-0.0038,-0.0025
"102114","EMPIRE ENERGY GROUP LTD",0.17,NA,-0.0286,NA
"282461","EMPIRE RESOURCES LTD",0.004,0.003,-0.0013,-8e-04
"290323","EMU NL",0.0025,0.023,-0.0021,-0.0335
"329139","EMVISION MEDICAL DEVICES LTD",1.7,2.03,-0.0498,-0.0339
"337103","EMYRIA LTD",0.075,0.032,-0.0179,-0.0319
"275874","ENCOUNTER RESOURCES",0.295,0.45,-0.0041,-0.0105
"348897","ENDEAVOUR GROUP LIMITED",5.27,5.02,0.2954,0.2859
"275903","ENECO REFRESH LTD",0.023,0.01,4e-04,-0.0058
"322716","ENEGEX LTD",0.019,0.015,-0.0078,-0.0024
"303689","ENERGY ACTION LTD",0.195,0.34,-0.011,0.019
"274001","ENERGY METALS LTD",0.125,NA,-0.0018,NA
"282303","ENERGY ONE LTD",5.39,5.01,0.1006,0.049
"100823","ENERGY RESOURCES OF AUSTRALI",0.057,NA,-0.0627,NA
"247532","ENERGY TECHNOLOGIES LTD",0.04,0.035,-0.0524,-0.0302
"278168","ENERGY TRANSITION MINERALS",0.038,NA,-0.0045,NA
"202023","ENERGY WORLD CORP LTD",0.035,0.01,-0.0177,-0.2603
"270802","ENERO GROUP LTD",1.6,1.3,0.6106,-0.4833
"281816","ENGENCO LTD",0.305,0.185,0.0204,0.0124
"284314","ENOVA MINING LTD",0.025,NA,-6e-04,NA
"301387","ENSURANCE LTD",0.27,NA,0.0049,NA
"285130","ENTERPRISE METALS LTD",0.004,0.004,-0.0036,-0.0014
"211574","ENVIRONMENTAL CLEAN TECH LTD",0.006,0.002,-0.0028,-0.0019
"253402","ENVIRONMENTAL GROUP LTD",0.255,0.41,0.008,0.0116
"288165","ENVIROSUITE LTD",0.06,0.079,-0.0081,-0.0254
"347289","EP&T GLOBAL LIMITED",0.023,0.023,-0.019,-0.0096
"277956","EQ RESOURCES LTD",0.074,0.051,-0.0026,-0.0167
"248783","EQUATORIAL RESOURCES LTD",0.155,0.12,-0.0337,-0.0135
"350256","EQUINOX RESOURCES LIMITED",0.175,0.27,-0.0128,-0.0173
"212657","EQUUS MINING LTD",0.05,NA,-0.131,NA
"318212","EROAD LTD",1.01,NA,-0.002,NA
"345471","ERRAWARRA RESOURCES LTD",0.14,0.098,-0.0447,-0.033
"259433","ESSENTIAL METALS LTD",0.485,NA,-0.0057,NA
"318790","ESTIA HEALTH LTD",3.05,NA,-0.1313,NA
"313567","ESTRELLA RESOURCES LTD",0.008,0.01,-0.0011,-0.0018
"249491","EUMUNDI GROUP LTD",1.09,1.16,0.0333,0.0771
"296025","EUROPEAN LITHIUM LTD",0.076,0.037,-0.0085,-0.1472
"253340","EV RESOURCES LIMITED",0.014,0.005,-0.0056,-0.0031
"275342","EVE HEALTH GROUP LIMITED",0.001,0.001,-5e-04,-3e-04
"279456","EVEREST METALS CORPORATION",0.1175,NA,-0.0246,NA
"355769","EVERGREEN LITHIUM LTD",0.28,0.041,-0.0324,-0.0299
"326452","EVION GROUP NL",0.036,0.027,-0.0121,-0.0092
"350726","EVOLUTION ENERGY MINERALS",0.165,0.037,-0.0713,-0.0477
"253350","EVOLUTION MINING LTD",3.29,4.64,0.0891,0.2202
"200157","EVT LIMITED",11,10.78,0.6605,0.0297
"249525","EVZ LTD",0.145,0.16,0.012,0.0177
"246003","EXCELSIOR CAPITAL LTD",2.98,3.13,0.3534,1.5416
"282226","EXCITE TECHNOLOGY SERVICES",0.009,NA,-0.0019,NA
"329547","EXOPHARM LIMITED",0.01,NA,-0.0362,NA
"319476","EXPERIENCE CO LTD",0.22,0.135,-7e-04,-1e-04
"346301","EZZ LIFE SCIENCE HOLDINGS",0.68,4.53,0.085,0.1616
"351580","FALCON METALS LIMITED",0.16,0.185,-0.0523,-0.0314
"351532","FAR EAST GOLD LIMITED",0.165,0.165,-0.0112,-0.0066
"106438","FAR LTD",0.4,NA,-0.0466,NA
"253430","FARM PRIDE FOODS LTD",0.14,0.105,-0.0989,-0.0163
"248791","FBR LTD",0.027,0.05,-0.007,-0.0068
"351619","FELIX GOLD LTD",0.0765,0.115,-0.0126,-0.0075
"345723","FELIX GROUP HOLDINGS LTD",0.076,0.16,-0.0391,-0.0262
"289477","FENIX RESOURCES LTD",0.225,0.295,0.0511,0.0487
"316002","FERTOZ LTD",0.027,NA,-0.0179,NA
"253436","FFI HOLDINGS LTD",4.5,4.3,0.1621,0.1612
"272832","FIELD SOLUTIONS HOLDINGS LTD",0.049,0.021,-0.0032,-0.0037
"254907","FIN RESOURCES LTD",0.012,0.005,-0.0046,-0.0056
"253534","FINDI LIMITED",4.7,NA,0.1028,NA
"346536","FIREBIRD METALS LIMITED",0.13,0.12,-0.0138,-0.0407
"351728","FIREBRICK PHARMA LIMITED",0.052,0.058,-0.04,-0.0066
"274063","FIREFLY METALS LTD",0.032,1.065,-0.0016,-0.0687
"352650","FIRETAIL RESOURCES LIMITED",0.099,0.099,-0.011,-0.0193
"253407","FIRST GRAPHENE LTD",0.054,0.047,-0.0094,-0.01
"297813","FIRSTWAVE CLOUD TECH LTD",0.055,0.028,-0.0081,-0.0135
"101256","FISHER & PAYKEL HEALTHCARE",30.08,NA,0.2278,NA
"253614","FITZROY RIVER CORP LTD",0.15,0.12,0.0013,-7e-04
"242719","FLEETWOOD LTD",1.89,1.845,0.0217,0.0402
"062403","FLETCHER BUILDING LTD",4.7,2.95,0.3001,-0.1098
"207300","FLIGHT CENTRE TRAVEL GROUP",19.38,22.35,0.2313,0.6371
"287853","FLUENCE CORPORATION LTD",0.175,NA,-0.0218,NA
"347442","FLYNN GOLD LTD",0.06,0.028,-0.0496,-0.03
"248129","FOCUS MINERALS LTD",0.18,NA,-0.0098,NA
"339132","FORBIDDEN FOODS LIMITED",0.018,0.01,-0.0466,-0.012
"350168","FORRESTANIA RESOURCES LTD",0.045,0.015,-0.0264,-0.0434
"212427","FORTESCUE LTD",20.92,20.68,1.5598,1.8476
"347813","FOS CAPITAL LIMITED",0.175,0.27,0.0114,0.0117
"253561","FREEHILL MINING LTD",0.004,0.006,-0.0078,-6e-04
"316613","FREELANCER LTD",0.21,NA,4e-04,NA
"322155","FRONTIER DIGITAL VENTURES",0.58,NA,-0.0206,NA
"293593","FRONTIER ENERGY LIMITED",0.34,NA,0.0068,NA
"299588","FUTURE BATTERY MINERALS LTD",0.115,0.02,-0.006,-0.0286
"349335","FUTURE METALS NL",0.044,0.021,-0.0182,-0.0091
"295280","G11 RESOURCES LIMITED",0.024,0.018,-0.0021,-0.0014
"348963","G50 CORP LIMITED",0.15,0.175,-0.025,-0.0157
"287566","G8 EDUCATION LTD",1.2,NA,0.0692,NA
"304888","GALAN LITHIUM LTD",0.655,0.12,-0.0247,-0.0252
"252585","GALE PACIFIC LTD",0.21,0.125,0.0134,-0.0012
"325342","GALENA MINING LIMI",0.093,NA,-0.0624,NA
"253345","GALILEE ENERGY LTD",0.049,0.013,-0.0264,-0.0104
"327122","GALILEO MINING LTD",0.295,0.155,-0.0078,0.0171
"272954","GAS2GRID LTD",0.001,0.001,-1e-04,-2e-04
"253466","GATEWAY MINING LTD",0.029,0.0235,-0.0051,-0.0052
"325412","GATHID LTD",0.026,0.018,-0.0047,-0.0129
"286990","GBM RESOURCES LTD",0.015,0.009,-0.0037,-0.0039
"290328","GENESIS MINERALS LTD",1.385,2.06,-0.2956,0.0774
"293083","GENESIS RESOURCES LTD",0.005,0.005,-0.0025,-0.0027
"319497","GENETIC SIGNATURES LTD",0.51,0.665,-0.098,-0.1081
"246010","GENETIC TECHNOLOGIES LIMITED",0.0025,0.039,-0.0012,-0.0909
"320065","GENEX POWER LTD",0.155,NA,-7e-04,NA
"346855","GENMIN LIMITED",0.16,NA,-0.0292,NA
"345340","GENUSPLUS GROUP LTD",1.15,2.45,0.0756,0.1084
"277450","GEOPACIFIC RESOURCES LTD",0.019,NA,-0.0149,NA
"289157","GIBB RIVER DIAMONDS LTD",0.027,0.038,-0.0032,-0.0075
"278457","GLADIATOR RESOURCES LTD",0.023,0.017,-0.0027,-0.0037
"274813","GLG CORP LTD",0.155,0.2,-0.0263,-0.0497
"249524","GLOBAL HEALTH LTD",0.17,0.14,-0.14,-0.0226
"347403","GLOBAL LITHIUM RESOURCES LTD",1.37,0.22,-0.0185,-0.0168
