"gvkey","conm","2021","2022","2023","2024"
"005302","LABYRINTH RESOURCES LIMITED",0.034,0.02,0.006,0.017
"013312","BHP GROUP LTD",37.61,38.52,44.25,45.96
"014242","ANSELL LTD",34.2,25.19,22.13,31.81
"016602","THE IQ GROUP GLOBAL LTD",0.2,NA,NA,NA
"017525","ORIGIN ENERGY LTD",4.73,5.17,8.78,10.01
"018043","NEWS CORP",23.53,15.11,20.06,26.63
"019731","ORBITAL CORP LTD",0.65,0.215,0.16,0.079
"023681","SENEX ENERGY LTD",3.69,NA,NA,NA
"024433","ASTUTE METALS NL",0.004,0.004,0.037,0.027
"031887","RESMED INC",263.55,218.3,147.87,244.12
"033805","SPORTSHERO LIMITED",0.029,0.02,0.019,0.012
"037798","TRITIUM DCFC LTD",9.87,3.19,0.3028,NA
"039960","IRIS ENERGY LIMITED",NA,4.13,3.71,8.44
"040702","LOCAFY LTD",NA,0.3901,7.15,NA
"062403","FLETCHER BUILDING LTD",7.18,4.84,4.7,2.95
"100243","AMCOR PLC",9.65,10.5,8.3,9.908
"100251","AGL ENERGY",5.78,6.84,10.73,11.83
"100461","BRAMBLES LTD",10.77,11.41,14.32,19.03
"100800","MCPHERSONS LTD",1.08,0.77,0.43,0.405
"100894","WOOLWORTHS GROUP LTD",39.35,33.95,37.32,33.3
"101392","BEACH ENERGY LTD",1.495,1.485,1.64,1.215
"101513","ST BARBARA LTD",1.34,0.74,0.175,0.36
"101568","AMOTIV LIMITED",10.27,7.41,11.77,10.45
"101597","MACMAHON HOLDINGS LTD",0.2,0.15,0.17,0.325
"101601","WESFARMERS LTD",55.75,42.72,52.86,70.43
"101605","REECE LTD",19.13,14.02,18.63,28.5
"101742","GWA GROUP LTD",2.74,1.91,1.845,2.41
"102202","DEEP YELLOW LTD",0.93,0.81,1.315,1.375
"102234","AIR NEW ZEALAND LTD",1.63,0.715,0.73,0.53
"103084","NEWCREST MINING LTD",22.64,16.92,24.52,NA
"104831","SPARK NEW ZEALAND LTD",4.78,5,4.81,3.03
"104960","OVATO LTD",0.002,NA,NA,NA
"105117","SEVEN WEST MEDIA LTD",0.405,0.415,0.315,0.175
"117116","KAZIA THERAPEUTICS LIMITED",1.565,0.1825,0.165,0.4299
"200157","EVT LIMITED",15.26,12.97,11,10.78
"200729","BEYOND INTERNATIONAL GRP LTD",0.655,0.5,NA,NA
"200779","BLACKMORES LTD",95.08,62.98,NA,NA
"200782","HORIZON OIL LTD",0.09,0.1475,0.18,0.2
"200972","ORCODA LTD",0.155,0.064,0.3,0.195
"201317","COVENTRY GROUP LTD",1.49,1.23,1.05,1.26
"201349","TZ LTD",0.1,0.1,0.024,0.019
"201350","CUE ENERGY RESOURCES LTD",0.065,0.074,0.062,0.096
"201616","LACHLAN STAR LTD",0.032,0.014,0.009,0.115
"201669","BOTANIX PHARMACEUTICALS LTD",0.07,0.062,0.12,0.405
"201739","EBOS GROUP LTD",35.3,37.61,34.2,36.14
"202023","ENERGY WORLD CORP LTD",0.078,0.053,0.035,0.01
"202649","GROUP 6 METALS LTD",0.17,0.185,0.09,NA
"202741","HAOMA MINING NL",NA,NA,NA,NA
"202929","KINGSGATE CONSOLIDATED LTD",1.58,1.57,1.21,1.39
"203007","HARVEY NORMAN HLDGS LTD",5.03,4.04,3.87,4.95
"203037","TOURISM HOLDINGS LTD",2.59,2.8,3.7,1.77
"203038","HELIX RESOURCES NL",0.018,0.0065,0.004,0.0045
"203071","HILLS LTD",0.12,0.065,NA,NA
"203209","DGL GROUP LIMITED",2.89,1.51,0.89,0.47
"203336","HORIZON MINERALS LTD",0.1,0.066,0.038,0.048
"203485","KORVEST LTD",5.47,7.15,8.45,10.37
"203545","LAKES BLUE ENERGY NL",0.0015,0.001,0.001,1
"204081","KINGSTON RESOURCES LTD",0.2,0.088,0.08,0.086
"205148","MICHAEL HILL INTL LTD",0.92,1.31,0.95,0.52
"205194","MINERAL RESOURCES LTD",44.81,65.75,67.63,52.04
"205282","MOUNT BURGESS MINING NL",0.006,0.005,0.003,0.002
"205371","OLDFIELDS HOLDINGS LTD",0.066,0.06,0.05,0.064
"206146","ORPHEUS URANIUM LTD",0.007,0.0015,0.075,0.051
"206196","DEMETALLICA LIMITED",NA,NA,NA,NA
"207014","NOVA MINERALS LTD",0.12,0.645,0.245,0.135
"207085","ADSLOT LTD",0.027,0.011,0.005,0.001
"207097","SONIC HEALTHCARE LTD",40.66,30.58,29.8,27.23
"207103","RIDLEY CORP LTD",1.34,2.04,2.3,2.62
"207300","FLIGHT CENTRE TRAVEL GROUP",21.46,14.22,19.38,22.35
"208001","ASARA RESOURCES LIMITED",0.006,0.042,0.026,0.015
"208012","INOVIQ LTD",1.09,0.53,0.56,0.5
"208079","SIMS LTD",13.33,13.38,13.53,12.66
"208239","K&S CORP LTD",1.7,1.925,2.46,3.52
"208326","SGH LIMITED",20.69,16.95,31.15,42.88
"208584","PRT COMPANY LIMITED",0.24,0.465,0.465,NA
"209221","SENETAS CORP",0.049,0.027,0.021,0.023
"209423","VILLAGE ROADSHOW LTD",NA,NA,NA,NA
"209518","JUMBO INTERACTIVE LTD",15.99,12.02,15.5,13.72
"209626","KAIROS MINERALS LTD",0.03,0.031,0.022,0.013
"210216","TELSTRA GROUP LIMITED",3.93,3.85,3.85,3.88
"210268","GREENVALE ENERGY LTD",0.35,0.06,0.075,0.026
"210805","PERENTI LTD",0.82,0.925,1.08,1.09
"210904","ELEVATE URANIUM LTD",0.535,0.485,0.55,0.4
"211365","NORWOOD SYSTEMS LTD",0.016,0.016,0.037,0.036
"211367","REGIS RESOURCES LTD",2.01,1.56,1.49,2.04
"211517","RESONANCE HEALTH LTD",0.09,0.056,0.079,0.06
"211528","ARB CORP",48.94,27.77,31.28,47.5
"211531","ATLAS PEARLS LTD",0.03,0.033,0.078,0.125
"211536","PRODIGY GOLD NL",0.038,0.01,0.009,0.002
"211545","AUSTRALIAN VINTAGE LTD",0.805,0.61,0.38,0.155
"211546","HEALTH AND PLANT PROTEIN GRP",0.19,0.075,0.042,0.042
"211557","CITIGOLD CORP LTD",0.011,0.006,0.004,0.005
"211559","OPTHEA LTD",1.33,1.17,0.33,0.775
"211574","ENVIRONMENTAL CLEAN TECH LTD",0.009,0.016,0.006,0.002
"211576","GLOBAL PETROLEUM LTD",0.0053,0.0031,0.0014,0.0021
"211585","SCHAFFER CORP",21.93,17.42,17.09,22.4
"212167","SKYCITY ENTERTAINMENT GROUP",3.2,2.71,1.93,1.38
"212381","AV JENNINGS LTD",0.605,0.42,0.395,0.31
"212413","ALKANE RESOURCES LTD",0.85,0.685,0.61,0.45
"212415","ALLIANCE RESOURCES LTD",0.165,NA,NA,NA
"212418","ASTRAL RESOURCES NL",0.08,0.078,0.084,0.12
"212427","FORTESCUE LTD",14.96,16.82,20.92,20.68
"212431","SCANTECH LTD",NA,NA,NA,NA
"212635","COCHLEAR LTD",220.4,194.54,255.32,282.09
"212644","SUNDANCE RESOURCES LTD",NA,NA,NA,NA
"212650","TRANSURBAN GROUP",14.16,12.34,12.69,13.13
"212653","WESTGOLD RESOURCES LTD",1.625,0.835,1.695,2.67
"212657","EQUUS MINING LTD",0.01,0.092,0.05,NA
"212658","LYNAS RARE EARTHS LIMITED",6.71,7.56,6.79,8.02
"213644","TITANIUM SANDS LTD",0.03,0.014,0.006,0.004
"214099","IGNITE LTD",0.095,0.088,0.052,0.08
"214644","TROY RESOURCES LTD",0.037,NA,NA,NA
"216480","TANAMI GOLD NL",0.072,0.0455,0.04,0.033
"217868","GREENX METALS LIMITED",0.27,0.275,0.975,0.67
"217874","HAWTHORN RESOURCES LTD",0.058,0.089,0.092,0.061
"217880","ADAVALE RESOURCES LTD",0.065,0.031,0.012,0.002
"220244","QANTAS AIRWAYS LTD",5.67,5.02,5.18,7.42
"221095","CARNEGIE CLEAN ENERGY LTD",0.003,0.002,0.002,0.038
"221178","ARIZONA LITHIUM LIMITED",0.045,0.078,0.015,0.015
"221190","SEAFARMS GROUP LTD",0.06,0.013,0.005,0.0025
"221464","CTI LOGISTICS LTD",0.92,1.3,1.51,1.77
"221613","JOYCE CORP LTD",3.16,3.6,3.01,4.01
"222202","TABCORP HOLDINGS LTD",4.91,0.935,0.94,0.505
"222301","CROWN RESORTS LTD",9.58,NA,NA,NA
"222761","AUCKLAND INTL AIRPORT LTD",7.82,7.2,7.91,7.47
"223003","CSL LTD",293.4,285.02,250.8,286.28
"226186","ZIMPLATS HOLDINGS LTD",20.45,24.44,23.2,16.2
"226744","RAMSAY HEALTH CARE LTD",69.62,57.28,51.87,41.62
"227297","CULLEN RESOURCES NL",0.017,NA,0.01,0.006
"231316","SILEX SYSTEMS LTD",1.3,2.98,3.5,4.3
"232041","AUSTAL LTD",1.88,2.28,1.88,2.91
"232102","SUREFIRE RESOURCES NL",0.014,0.013,0.014,0.007
"232122","MACQUARIE TECHNOLOGY GROUP",77.36,59.5,63.4,83.17
"234276","PENINSULA ENERGY LTD",0.21,0.165,0.145,0.094
"234498","WEBCENTRAL GROUP LTD",0.565,NA,NA,NA
"234876","BORAL LTD",6.14,2.67,4.45,NA
"235498","ADACEL TECHNOLOGIES LTD",1.265,0.69,0.56,0.495
"235645","CELSIUS RESOURCES LTD",0.025,0.014,0.012,0.012
"236836","FIRST LITHIUM LIMITED",0.2,0.17,0.245,NA
"237776","STREAMPLAY STUDIO LTD",0.022,0.013,0.007,0.007
"237805","MPOWER GROUP LTD",0.061,0.022,0.019,0.009
"241372","A2B AUSTRALIA LTD",1.34,1.16,1.63,NA
"241378","CLOUGH LTD",NA,NA,NA,NA
"241380","DOWNER EDI LTD",6.46,4.57,4.12,5.48
"241393","INFOMEDIA LTD",1.755,1.17,1.58,1.59
"241401","CITY CHIC COLLECTIVE LTD",6.5,1.31,0.38,0.135
"241405","HEALIUS LTD",4.8,3.37,2.3,1.725
"241406","ALTIUM LTD",35.52,34.43,43.21,NA
"241412","SERVCORP LTD",3.84,3.35,3.09,5.15
"242326","OPTISCAN IMAGING LTD",0.225,0.11,0.073,0.195
"242333","PRO MEDICUS LTD",54.61,50.19,83.39,178.25
"242334","CELLNET GROUP LTD",0.054,0.028,NA,NA
"242336","COLLECTION HOUSE LTD",0.17,NA,NA,NA
"242341","COMPUMEDICS LTD",0.415,0.245,0.185,0.3
"242369","HANSEN TECHNOLOGIES LTD",5.53,4.45,5.29,4.76
"242375","INTEGRATED RESEARCH LTD",1.65,0.3875,0.33,0.625
"242536","APA GROUP",8.72,9.59,8.3,7.76
"242587","INDIANA RESOURCES LTD",0.058,0.064,0.058,0.097
"242599","CONSTELLATION TECHNOLOGIES",0.011,0.005,0.002,0.002
"242607","LIVETILES LTD",0.13,0.0545,0.01,NA
"242645","BSA LTD",0.29,0.051,0.6,1.02
"242650","BREVILLE GROUP LTD",29.09,18.16,22,34.14
"242679","DATA3 LTD",4.79,6.25,7.08,7.58
"242682","WHITE ENERGY CO LTD",0.11,0.38,0.071,0.042
"242719","FLEETWOOD LTD",2.27,1.45,1.89,1.845
"242770","PROPHECY INTL HLDS LTD",0.55,0.82,0.605,0.65
"242795","MONADELPHOUS GROUP LTD",9.11,13.06,14.13,12.91
"242978","MOAB MINERALS LTD",0.012,0.014,0.01,0.004
"243008","OBJECTIVE CORP LTD",18.44,13.09,10.7,14.61
"243033","COAST ENTERTAINMENT HOLDINGS",1.63,0.52,0.47,0.45
"244396","AURIS MINERALS LTD",0.049,0.017,0.008,0.005
"244817","INSTITUTE OF DRUG TECH AU",0.65,0.096,0.061,0.115
"244819","RESPIRI LTD",0.069,0.04,0.034,0.036
"244820","PRESTAL HOLDINGS LIMITED",0.4,0.41,0.395,0.083
"245996","AJ LUCAS GROUP LTD",0.038,0.11,0.013,0.009
"246003","EXCELSIOR CAPITAL LTD",1.63,2.06,2.98,3.13
"246004","SEQUOIA FINANCIAL GROUP LTD",0.7,0.55,0.485,0.395
"246008","ALEXIUM INTERNATIONAL GROUP",0.071,0.021,0.016,0.011
"246010","GENETIC TECHNOLOGIES LIMITED",0.007,0.004,0.0025,0.039
"246015","EMERALD RESOURCES NL",0.96,1.075,2.7,3.86
"246017","POLYNOVO LTD",1.925,1.3,1.305,2.61
"246025","NEARMAP LTD",1.895,2.01,NA,NA
"246028","STARPHARMA HLDGS LTD",1.33,0.625,0.165,0.1
"246560","OVANTI LIMITED",0.275,0.062,0.041,0.004
"246838","GLOBE INTERNATIONAL LTD",6.02,3.45,3.05,3.75
"247299","WELLFULLY LTD",0.175,0.028,0.003,NA
"247359","CONNECTED MINERALS LIMITED",0.051,0.018,0.018,0.36
"247360","ANDROMEDA METALS LTD",0.155,0.044,0.021,0.007
"247361","AUSCANN GROUP HOLDINGS LTD",0.094,0.04,0.04,NA
"247362","ADMIRALTY RESOURCES NL",0.016,0.009,0.006,0.009
"247374","IMMURON LTD",0.145,0.086,0.078,0.105
"247375","ANALYTICA LTD",0.002,0.001,NA,NA
"247469","HITECH GROUP AUSTRALIA",2.15,1.98,1.895,1.95
"247496","MOUNT GIBSON IRON LTD",0.48,0.41,0.44,0.335
"247532","ENERGY TECHNOLOGIES LTD",0.135,0.063,0.04,0.035
"247537","BPH GLOBAL LTD",0.014,0.014,0.0015,0.003
"247575","BATTERY AGE MINERALS LTD",0.355,0.4,0.275,0.115
"247612","NT MINERALS LTD",0.063,0.018,0.009,0.004
"247687","COMET RESOURCES LTD",0.027,0.02,0.2,NA
"247733","MAXIPARTS LIMITED",3.9,2.16,2.81,1.84
"247737","LINDIAN RESOURCES LTD",0.032,0.325,0.215,0.105
"247757","MMA OFFSHORE LTD",0.395,0.69,1.39,NA
"247872","SRG GLOBAL LTD",0.51,0.67,0.655,1.11
"247879","STRANDLINE RESOURCES LTD",0.2,0.405,0.115,0.095
"247885","PALADIN ENERGY LTD",0.69,0.755,1.1,11.55
"247968","IMPELUS LTD",0.006,0.69,NA,NA
"247996","ANTEOTECH LTD",0.265,0.047,0.026,0.021
"248015","REA GROUP LTD",158.85,114.85,154.32,201
"248123","LEPIDICO LTD",0.023,0.022,0.0105,0.003
"248127","TAITON RESOURCES LIMITED",NA,NA,0.185,0.15
"248128","METALS AUSTRALIA LTD",0.002,0.043,0.034,0.024
"248130","AUSTPAC RESOURCES NL",0.002,0.002,NA,NA
"248134","MACRO METALS LIMITED",0.017,0.004,0.004,0.023
"248140","GREENSTONE RESOURCES LTD",0.026,0.065,0.009,NA
"248144","WISR LTD",0.265,0.058,0.031,0.027
"248146","COKAL LTD",0.145,0.23,0.125,0.08
"248148","BIOTRON LTD",0.052,0.047,0.068,0.019
"248766","DESIGN MILK CO LTD",0.4,0.3,0.3,NA
"248777","PROVINCE RESOURCES LTD",0.15,0.08,0.041,0.041
"248780","BIONOMICS LTD",0.17,0.052,2.7,0.4393
"248782","TRIVARX LIMITED",0.01,0.001,0.0015,0.019
"248783","EQUATORIAL RESOURCES LTD",0.215,0.19,0.155,0.12
"248785","BLAZE MINERALS LIMITED",0.023,0.02,0.011,0.004
"248789","DEVEX RESOURCES LTD",0.35,0.31,0.37,0.165
"248791","FBR LTD",0.036,0.042,0.027,0.05
"248802","MYECO GROUP LTD",0.295,0.095,0.05,0.018
"248804","STONEHORSE ENERGY LTD",0.022,0.017,0.016,0.009
"248808","SPORTS ENTERTAINMENT GRP LTD",0.23,0.25,0.23,0.255
"248809","CARNARVON ENERGY LIMITED",0.315,0.155,0.16,0.155
"248811","ODESSA MINERALS LIMITED",0.005,0.018,0.0125,0.004
"248816","CPT GLOBAL LTD",0.615,0.35,0.12,0.076
"248826","RESOURCE MINING CORP",0.028,0.12,0.043,0.013
"248831","BEONIC LIMITED",0.1,0.05,0.032,0.03
"248832","BLUE ENERGY LTD",0.055,0.054,0.013,0.009
"249486","EMBELTON LTD",12.5,10.5,10.5,8.6
"249488","CLINUVEL PHARMACEUTICALS LTD",42.86,18.58,14.71,14.02
"249491","EUMUNDI GROUP LTD",0.985,1.095,1.09,1.16
"249497","HELLOWORLD TRAVEL LTD",2.56,1.885,2.66,1.965
"249501","LINDSAY AUSTRALIA LTD",0.375,0.595,1.115,0.91
"249507","ALTERITY THERAPEUTICS LTD",0.03,0.013,0.007,0.003
"249508","INCOME ASSET MANAGEMENT GRP",0.34,0.15,0.12,NA
"249510","SDI LTD",1.02,0.82,0.8,0.93
"249513","NOUMI LIMITED",0.495,0.17,0.145,0.125
"249516","TAMAWOOD LTD",3.49,2.1,2.15,2.65
"249521","BIOXYNE LTD",0.023,0.026,0.014,0.013
"249523","BYTE POWER GROUP LTD",NA,NA,NA,NA
"249524","GLOBAL HEALTH LTD",0.35,0.325,0.17,0.14
"249525","EVZ LTD",0.155,0.205,0.145,0.16
"250468","AINSWORTH GAME TECHNOLOGY",1.24,0.87,1.215,NA
"251618","MEEKA METALS LIMITED",0.046,0.06,0.046,0.061
"251620","CONNEXION MOBILITY LTD",0.015,0.01,0.023,0.027
"252260","NOVA EYE MEDICAL LTD",0.395,0.21,0.195,0.1825
"252270","PPK GROUP LTD",15.32,1.46,0.82,0.395
"252274","SIPA RESOURCES LTD",0.058,0.05,0.02,0.015
"252290","BLUESCOPE STEEL LTD",20.5,15.19,19.44,22.2
"252538","PRESCIENT THERAPEUTICS LTD",0.26,0.18,0.056,0.041
"252585","GALE PACIFIC LTD",0.375,0.28,0.21,0.125
"252590","YOWIE GROUP LTD",0.044,0.049,0.034,0.025
"253299","AERIS ENVIRONMENTAL LTD",0.14,0.04,0.022,0.098
"253300","PERCHERON THERAPEUTICS LTD",0.205,0.0855,0.068,0.105
"253314","BOUNTY OIL & GAS NL",0.017,0.008,0.007,0.005
"253315","TOTAL BRAIN LTD",0.23,0.047,NA,NA
"253321","Q TECHNOLOGY GROUP LTD",0.004,NA,NA,NA
"253322","AMPLITUDE ENERGY LIMITED",0.27,0.255,0.12,0.185
"253324","CRYOSITE LTD",0.4,0.675,0.65,0.8
"253326","DE GREY MINING LTD",0.965,1.04,1.115,1.39
"253327","ZICOM GROUP LTD",0.11,0.065,0.057,0.068
"253334","STRATEGIC ENRGY RESOURCE LTD",0.035,0.018,0.0135,0.022
"253338","MINCOR RESOURCES NL",1.33,1.825,NA,NA
"253340","EV RESOURCES LIMITED",0.032,0.025,0.014,0.005
"253345","GALILEE ENERGY LTD",0.48,0.32,0.049,0.013
"253347","OPYL LTD",0.16,0.047,0.047,0.017
"253350","EVOLUTION MINING LTD",3.49,2.05,3.29,4.64
"253353","AROVELLA THERAPEUTICS LTD",0.047,0.035,0.068,0.155
"253356","INTELLIGENT MONITORING GROUP",0.005,0.06,0.205,0.72
"253357","NEURIZON THERAPEUTICS LTD",0.09,0.075,0.077,0.195
"253358","WESTERN AREAS LTD",3,NA,NA,NA
"253359","SUPPLY NETWORK LTD",8.25,10.24,15,30.5
"253361","AUSTRALIAN MINES LTD",0.023,0.069,0.013,0.007
"253362","KNEOMEDIA LTD",0.016,0.02,0.003,0.002
"253366","CARLY HOLDINGS LTD",0.058,0.038,0.017,0.013
"253370","WATERCO LTD",3.26,4.1,4.18,5.32
"253371","NUENERGY GAS LTD",0.029,0.018,0.031,0.021
"253373","POSEIDON NICKEL LTD",0.095,0.045,0.019,0.004
"253375","VIP GLOVES LTD",0.04,0.009,0.003,NA
"253380","DIGITAL X LTD",0.066,0.0335,0.029,0.042
"253381","MOSAIC BRANDS LTD",0.59,0.275,0.125,NA
"253383","NORWEST ENERGY NL",0.029,0.045,NA,NA
"253384","GOLDOZ LTD",1.8901,NA,NA,NA
"253385","TRIBUNE RESOURCES LTD",4.9,3.7,3.25,4.85
"253388","ELMORE LTD",0.018,0.025,0.005,NA
"253397","SWIFT NETWORKS GROUP LIMITED",0.022,0.012,0.019,0.015
"253398","DUBBER CORP LTD",3.57,0.555,0.145,0.03
"253402","ENVIRONMENTAL GROUP LTD",0.14,0.195,0.255,0.41
"253407","FIRST GRAPHENE LTD",0.18,0.11,0.054,0.047
"253411","SPIRIT TECHNOLOGY SOLUTIONS",0.235,0.064,0.042,0.057
"253413","3Q HOLDINGS LTD",NA,NA,NA,NA
"253419","SIHAYO GOLD LTD",0.009,0.003,0.0015,NA
"253425","IONIC RARE EARTHS LTD",0.035,0.043,0.023,0.008
"253426","BEAM COMMUNICATIONS HLDG LTD",0.265,0.26,0.17,0.14
"253427","SPACETALK LTD",0.23,0.056,0.021,0.022
"253430","FARM PRIDE FOODS LTD",0.32,0.13,0.14,0.105
"253431","AUSTRALIAN PACIFIC COAL LTD",0.15,0.4,0.12,0.17
"253433","STRIKE RESOURCES LTD",0.125,0.09,0.057,0.033
"253435","TASMAN RESOURCES LTD",0.028,0.018,0.006,0.005
"253436","FFI HOLDINGS LTD",6.6,4.95,4.5,4.3
"253439","RED HAWK MINING LIMITED",0.8,0.56,0.655,0.78
"253442","NUCOAL RESOURCES LTD",0.009,0.009,0.005,0.005
"253447","FOX RESOURCES LTD (AUSTRALIA",NA,NA,NA,NA
"253448","PROMINENCE ENERGY LTD",0.013,0.002,0.015,0.006
"253449","MANDRAKE RESOURCES LTD",0.053,0.038,0.04,0.028
"253455","JCURVE SOLUTIONS LTD",0.053,0.055,0.042,0.031
"253460","SKS TECHNOLOGIES GROUP LTD",0.18,0.23,0.19,1.54
"253461","ACADEMIES AUSTRALASIA GROUP",0.24,0.325,0.31,0.14
"253466","GATEWAY MINING LTD",0.018,0.087,0.029,0.0235
"253471","AUSTRALIAN ZIRCON NL",NA,NA,NA,NA
"253481","SITE GROUP INTERNATIONAL LTD",0.008,0.004,0.003,0.002
"253485","MOQ LTD",0.195,0.073,NA,NA
"253486","PANCONTINENTAL ENERGY NL",0.001,0.004,0.018,0.015
"253489","TOMIZONE LTD",0.002,NA,NA,NA
"253492","SUNSHINE METALS LTD",0.052,0.024,0.013,0.0135
"253496","ALLIANCE NICKEL LIMITED",0.06,0.105,0.066,0.042
"253498","RENT.COM.AU LTD",0.094,0.036,0.02,0.019
"253500","GOCONNECT LTD",NA,0.004,0.004,NA
"253501","PIEDMONT LITHIUM INC",54.46,60.05,13.32,NA
"253507","VARISCAN MINES LTD",0.057,0.024,0.015,0.009
"253509","GOLDEN CROSS RESOURCES LTD",0.019,0.01,0.0035,0.002
"253510","GOLDEN DEEPS LTD",0.011,0.015,0.056,0.038
"253511","PARAGON CARE LTD",0.305,0.33,0.17,NA
"253512","VONEX LTD",0.145,0.076,0.013,0.042
"253518","INVENTIS LTD",0.12,0.076,0.029,0.027
"253519","POLARX LTD",0.042,0.01,0.01,0.01
"253521","SPENDA LIMITED",0.056,0.012,0.01,0.01
"253522","GULLEWA LTD",0.089,0.06,0.055,0.065
"253523","IMMUTEP LTD",0.55,0.245,0.28,0.325
"253524","CYCLONE METALS LTD",0.005,0.002,0.001,0.001
"253526","HAMPTON HILL MINING NL",0.025,NA,NA,NA
"253528","DIMERIX LTD",0.3,0.16,0.061,0.375
"253544","QUESTE COMMUNICATIONS LTD",0.055,0.045,0.024,0.049
"253550","RAND MINING LTD",1.5,1.5,1.3,1.78
"253552","MELBANA ENERGY LTD",0.025,0.075,0.068,0.039
"253555","STAR PHOENIX GROUP LTD",0.0133,0.015,NA,NA
"253561","FREEHILL MINING LTD",0.028,0.015,0.004,0.006
"253563","RECTIFIER TECHNOLOGIES LTD",0.031,0.031,0.049,0.008
"253564","MANTLE MINERALS LIMITED",0.014,0.0045,0.002,0.0015
"253571","ICS GLOBAL LTD",2.19,2.19,NA,NA
"253575","NEOMETALS LTD",0.855,1.125,0.37,0.125
"253578","SAVANNAH GOLDFIELDS LIMITED",0.005,0.0055,0.07,NA
"253584","RIMFIRE PACIFIC MINING LTD",0.009,0.01,0.006,0.047
"253587","IMDEX LTD",2.32,1.785,1.555,2.36
"253592","IMUGENE LTD",0.48,0.18,0.046,0.049
"253596","IGO LTD",8.88,13.7,12.66,5.86
"253607","LATROBE MAGNESIUM LTD",0.029,0.078,0.044,0.032
"253608","SABRE RESOURCES",0.006,0.006,0.034,0.015
"253610","LAKE RESOURCES NL",0.615,0.895,0.18,0.041
"253611","PANORAMIC RESOURCES LTD",0.215,0.19,0.037,NA
"253612","THUNDERBIRD RESOURCES LTD",0.016,0.008,0.004,0.017
"253614","FITZROY RIVER CORP LTD",0.14,0.12,0.15,0.12
"253620","KALINA POWER LTD",0.03,0.017,0.008,0.016
"253621","JINDALEE LITHIUM LIMITED",2.36,2.33,1.75,0.25
"253637","RENU ENERGY LIMITED",0.048,0.042,0.029,0.002
"253638","MC MINING LTD",0.12,0.41,0.15,0.145
"253639","SCIDEV LIMITED",0.8,0.285,0.3,0.64
"253640","ICON ENERGY LTD (AUS)",0.013,0.014,0.01,0.006
"253641","MORELLA CORPORATION LIMITED",0.07,0.021,0.006,0.029
"253642","TIVAN LTD",0.085,0.079,0.08,0.047
"253647","TRANSMETRO CORP LTD",1.02,1.15,1.805,1.65
