"gvkey","conm","2021","2022","2023","2024"
"254186","VAULT MINERALS LIMITED",0.21,0.19,0.265,0.325
"254382","PHARMX TECHNOLOGIES LIMITED",0.083,0.03,0.043,0.047
"254385","BABYLON PUMP & POWER LTD",0.014,0.0045,0.004,0.006
"254395","CADOUX LIMITED",0.825,0.145,0.07,0.065
"254396","HYDRIX LTD",0.13,0.059,0.026,0.013
"254665","WORLEY LTD",9.91,12.73,17.41,14.83
"254900","REACH RESOURCES LIMITED",0.009,0.007,0.014,0.013
"254903","CRATER GOLD MINING LTD",0.017,0.017,NA,NA
"254904","PACIFIC NICKEL MINES LTD",0.078,0.087,0.092,0.024
"254905","MITHRIL SILVER AND GOLD LTD",0.012,0.004,0.002,0.625
"254906","ORA BANDA MINING LTD",0.095,0.06,0.11,0.625
"254907","FIN RESOURCES LTD",0.042,0.022,0.012,0.005
"256011","HAMMER METALS LIMITED",0.061,0.05,0.046,0.035
"256402","REDCASTLE RESOURCES LIMITED",0.008,0.015,0.014,0.009
"256406","RAMELIUS RESOURCES LTD",1.335,0.715,1.435,2.2
"256407","LANTHANEIN RESOURCES LIMITED",0.018,0.038,0.008,0.004
"256540","AUSTCHINA HOLDINGS LTD",0.007,0.006,0.004,0.002
"256542","ADVANCED BRAKING TECH LTD",0.037,0.03,0.044,0.075
"256758","AWN HOLDINGS LTD",0.715,NA,NA,NA
"256982","BISALLOY STEEL GROUP LTD",1.585,2.23,2,3.35
"257660","PEAK MINERALS LTD",0.017,0.009,0.003,0.002
"257749","ZELIRA THERAPEUTICS LTD",0.039,1.3,0.98,0.75
"258190","QUANTUM HEALTH GROUP LTD",0.077,NA,NA,NA
"258440","KIP MCGRATH EDUCATION CENTRE",1.05,0.785,0.615,0.43
"258443","AF LEGAL GROUP LTD",0.445,0.225,0.21,0.125
"258647","BOOM LOGISTICS LTD",0.175,0.1425,0.115,0.14
"258858","JB HI-FI",45.52,37.96,45.42,79.94
"259002","CAZALY RESOURCES LTD",0.042,0.035,0.04,0.015
"259006","ORION MINERALS LTD",0.026,0.015,0.019,0.017
"259011","RED METAL LTD",0.1,0.075,0.082,0.1125
"259060","ARAFURA RARE EARTHS LIMITED",0.225,0.325,0.26,0.175
"259063","FREEDOM CARE GROUP HOLDINGS",0.064,4.608,NA,NA
"259069","LARK DISTILLING CO LTD",4.85,2.13,1.47,1
"259070","SYNERGIA ENERGY LTD",0.004,0.0025,0.0013,9e-04
"259073","SYNTARA LIMITED",0.13,0.078,0.033,0.043
"259076","TASSAL GROUP",3.52,5.17,NA,NA
"259077","JUPITER ENERGY LTD",0.045,0.025,0.018,0.027
"259101","IODM LTD",0.345,0.3,0.26,0.165
"259261","AUSQUEST LTD",0.019,0.019,0.013,0.011
"259267","CODAN LTD",12.77,5.67,7.9,16.12
"259418","BRIGHTSTAR RESOURCES LTD",0.034,0.021,0.011,0.017
"259424","REDIVIUM LIMITED",0.034,0.021,0.008,0.007
"259429","BLACK ROCK MINING LTD",0.19,0.15,0.085,0.051
"259433","ESSENTIAL METALS LTD",0.175,0.46,0.485,NA
"259435","TRAKA RESOURCES LTD",0.012,0.007,0.005,0.001
"259437","USCOM LTD",0.135,0.078,0.05,0.014
"259480","MEDICAL DEV INTL",5.18,1.68,0.85,0.44
"259622","TEN SIXTY FOUR LIMITED",0.7,0.64,0.57,NA
"259624","FERRAUS LTD",NA,NA,NA,NA
"259625","NTHN STAR RES LTD",8.5,7.83,10.46,15.97
"259626","VOLT RESOURCES LTD",0.034,0.024,0.007,0.0035
"259658","AUSTRALIAN AGRICULTURAL PROJ",0.032,0.023,0.02,0.036
"260379","BERKELEY ENERGIA LTD",0.305,0.28,0.38,0.36
"260380","BIODIEM LTD",NA,NA,NA,NA
"260390","GRAND GULF ENERGY LTD",0.039,0.015,0.008,0.004
"260398","AZURE MINERALS LTD",0.295,0.17,2.7,NA
"260483","CIRRUS NETWORKS HOLDINGS LTD",0.032,0.032,0.06,NA
"260559","DGR GLOBAL LTD",0.063,0.045,0.026,0.016
"260563","PANTORO LTD",0.205,0.165,0.037,0.115
"260564","SANDFIRE RESOURCES LTD",5.48,3.73,6.16,10.84
"260641","COGSTATE LTD",2.2,2.16,1.525,1.035
"260652","SKY METALS LTD",0.099,0.05,0.043,0.046
"270219","COMET RIDGE LTD",0.135,0.165,0.165,0.175
"270347","WHITEBARK ENERGY LTD",0.0035,0.002,0.025,0.008
"270418","REJECT SHOP LTD",6.35,4.15,5.7,3.21
"270457","SAYONA MINING LTD",0.175,0.235,0.093,0.035
"270502","SUPER RETAIL GROUP LTD",12.21,8.88,11.99,18.17
"270802","ENERO GROUP LTD",3.03,2.91,1.6,1.3
"270845","NICK SCALI LTD",11.36,9.28,11.08,16.6
"270850","CARDNO LTD",1.115,0.505,0.28,0.335
"270944","TALI DIGITAL LTD",0.032,0.003,0.001,0.001
"270947","METALS X LTD",0.37,0.265,0.355,NA
"271011","ACRUX LTD",0.125,0.057,0.039,0.056
"271153","LAND AND HOMES GROUP LTD",0.013,0.014,0.01,0.007
"271176","AUSTCO HEALTHCARE LTD",0.14,0.12,0.19,0.255
"271275","BMG RESOURCES LTD",0.075,0.02,0.011,0.01
"271277","ALGORAE PHARMACEUTICALS LTD",0.01,0.013,0.015,0.007
"271279","METEORIC RESOURCES NL",0.024,0.013,0.225,0.11
"271287","ANAX METALS LTD",0.099,0.056,0.036,0.022
"271291","WILDCAT RESOURCES LTD",0.031,0.032,0.445,0.285
"271293","MOUNT RIDLEY MINES LTD",0.007,0.005,0.0015,0.001
"271297","TENNANT MINERALS LIMITED",0.022,0.034,0.031,0.013
"271301","ALICE QUEEN LTD",0.01,0.0025,0.014,0.009
"271303","ELIXIR ENERGY LTD",0.255,0.16,0.066,0.175
"271309","BOAB METALS LTD",0.37,0.185,0.135,0.12
"271310","MAGGIE BEER HOLDINGS LTD",0.43,0.3,0.11,0.064
"271311","KAROON ENERGY LTD",1.555,1.82,2.64,NA
"271316","METALLICA MINERALS LTD",0.031,0.042,0.024,NA
"271317","EDU HOLDINGS LIMITED",0.115,0.16,0.1,NA
"271318","MINDAX LTD",0.051,0.059,0.05,0.045
"271320","K2 ENERGY LTD",0.02,0.018,0.01,NA
"271326","PERSEUS MINING LTD",1.4,1.52,1.645,2.61
"271329","PETRATHERM LTD",0.06,0.073,0.055,0.045
"271330","STRIKE ENERGY LTD",0.265,0.245,0.405,0.22
"271332","ASSOCIATE GLOBAL PARTNERS",0.85,0.44,0.21,0.14
"271334","SOMNOMED LTD",2.35,1.47,0.705,0.4
"271338","ACCENT GROUP LTD",2.24,1.28,1.96,2.38
"271339","INFOCUS GROUP HOLDINGS LTD",0.04,0.011,0.011,0.015
"271340","ROX RESOURCES LTD",0.375,0.265,0.235,0.135
"271411","MCMILLAN SHAKESPEARE LTD",14.6,12.88,16.11,15.33
"271530","METGASCO LTD",0.025,0.024,0.012,0.004
"271534","SERVICE STREAM LTD",0.89,0.68,0.93,1.52
"271607","MESOBLAST LTD",1.68,0.78,0.39,1.17
"271608","OTTO ENERGY LTD",0.011,0.012,0.02,0.013
"271729","VALMEC LTD",0.41,NA,NA,NA
"271731","DONACO INTERNATIONAL LTD",0.035,0.045,0.04,0.032
"271835","DATADOT TECHNOLOGY LTD",0.01,0.006,0.003,0.003
"272228","ADVANCE ZINCTEK LTD",3.56,2.13,0.96,0.78
"272233","AUSTIN ENGINEERING LTD",0.24,0.325,0.265,0.535
"272237","KALNORTH GOLD MINES LTD",0.013,NA,NA,NA
"272241","COPPER STRIKE LTD",0.084,0.11,0.155,0.155
"272243","MINOTAUR EXPLORATION LTD",0.098,NA,NA,NA
"272247","RESAPP HEALTH LTD",0.067,0.205,NA,NA
"272259","TRAFFIC TECHNOLOGIES LTD",0.035,0.015,0.012,0.004
"272288","GWR GROUP LTD",0.145,0.078,0.084,0.082
"272294","CAULDRON ENERGY LTD",0.032,0.012,0.013,0.02
"272520","VANGO MINING LTD",0.062,0.039,NA,NA
"272521","LYCOPODIUM LTD",4.43,6.81,9.21,12.3
"272602","RHIPE LTD",2.48,NA,NA,NA
"272604","NEURIZER LTD",0.105,0.135,0.037,0.004
"272672","PROVARIS ENERGY LTD",0.078,0.057,0.068,0.016
"272690","1300 SMILES LTD",8.1,NA,NA,NA
"272692","RAGNAR METALS LTD",0.04,0.028,0.024,0.018
"272696","PYC THERAPEUTICS LTD",0.14,0.068,0.057,0.17
"272726","RESOURCES AND ENERGY GROUP",0.046,0.019,0.015,0.026
"272763","POWER MINERALS LIMITED",0.425,0.485,0.25,0.125
"272775","SEEK LTD",31.12,19.17,22.07,24.85
"272783","AMBERTECH LTD",0.315,0.3,0.21,0.19
"272791","MATSA RESOURCES LTD",0.056,0.034,0.027,0.033
"272799","PAPYRUS AUSTRALIA LTD",0.051,0.038,0.025,0.007
"272802","IONDRIVE LIMITED",0.063,0.03,0.012,0.014
"272816","DECMIL GROUP LTD",0.355,0.17,0.17,NA
"272828","PRO-PAC PACKAGING LTD",0.2,0.3,0.275,0.05
"272832","FIELD SOLUTIONS HOLDINGS LTD",0.185,0.099,0.049,0.021
"272833","BANNERMAN ENERGY LTD",0.25,2.05,2.82,3.14
"272837","STELLAR RESOURCES LTD",0.031,0.015,0.012,0.017
"272847","CLEANAWAY WASTE MGMT LTD",2.76,2.71,2.43,2.94
"272954","GAS2GRID LTD",0.004,0.002,0.001,0.001
"272977","CANNINDAH RESOURCES LTD",0.135,0.22,0.115,0.042
"273011","DOMINOS PIZZA ENTERPRISES LT",160.46,51.52,53.18,35.45
"273035","CONDOR ENERGY LTD",0.026,0.003,0.014,0.033
"273070","SIV CAPITAL LTD",0.26,0.18,0.19,0.16
"273231","APOLLO CONSOLIDATED LTD",0.37,NA,NA,NA
"273250","CORAZON MINING LTD",0.036,0.015,0.012,0.005
"273502","RED RIVER RESOURCES LTD",0.17,0.08,NA,NA
"273809","BRAZILIAN CRITICAL MINERALS",0.205,0.061,0.026,0.012
"273819","ONCOSIL MEDICAL LTD",0.048,0.046,0.01,0.014
"273904","ACCENT RESOURCES NL",0.055,0.025,0.008,0.006
"273957","KORAB RESOURCES LTD",0.02,0.032,0.018,0.008
"274028","HIGHCOM LIMITED",0.365,0.46,0.32,0.19
"274058","NEW WORLD RESOURCES LTD",0.069,0.033,0.03,0.021
"274063","FIREFLY METALS LTD",0.075,0.042,0.032,1.065
"274258","VITAL METALS LTD",0.056,0.033,0.01,0.003
"274273","CUFE LTD",0.047,0.016,0.015,0.008
"274286","QUICKSTEP HOLDINGS LTD",0.045,0.42,0.255,0.265
"274315","GREENWING RESOURCES LTD",0.33,0.365,0.135,0.04
"274416","CARDIEX LTD",0.06,0.3,0.135,0.059
"274429","REGIONAL EXPRESS HLDGS LTD",1.5,1.32,0.995,NA
"274441","MAXIMUS RESOURCES LTD",0.084,0.047,0.029,0.045
"274453","MAGNIS ENERGY TECH LTD",0.31,0.37,0.074,NA
"274454","ARDIDEN LTD",0.013,0.0075,0.006,0.135
"274457","VITA GROUP LIMITED",0.785,0.12,NA,NA
"274466","ARROW MINERALS LTD",0.006,0.005,0.005,NA
"274487","AUB GROUP LTD",24.05,18.97,29.14,30.78
"274497","EUROPA METALS LTD",0.0765,0.026,0.0205,0.02
"274512","SOUTHERN CROSS MEDIA GROUP",2.17,0.92,0.76,0.48
"274582","TALISMAN MINING LTD",0.16,0.135,0.135,0.245
"274625","ODYSSEY GOLD LIMITED",0.087,0.033,0.02,0.023
"274627","MACH7 TECHNOLOGIES LTD",1.05,0.535,0.795,0.555
"274640","SEEING MACHINES LD",0.096,0.0535,0.0545,0.0475
"274740","GLOBE METALS & MINING LTD",0.1,0.072,0.038,0.04
"274741","ANAGENICS LIMITED",0.061,0.035,0.023,0.008
"274762","CLEAN SEAS SEAFOOD LTD",0.565,0.57,0.47,0.155
"274813","GLG CORP LTD",0.265,0.28,0.155,0.2
"274847","SAFEROADS HOLDINGS LTD",0.225,0.125,0.125,0.041
"274854","REVERSE CORP LTD",0.004,NA,NA,NA
"274905","BELLEVUE GOLD LTD",0.845,0.75,1.385,1.32
"274926","ARIKA RESOURCES LIMITED",0.01,0.004,0.002,0.028
"275101","TRIANGLE ENERGY (GLOBAL) LTD",0.019,0.014,0.018,0.005
"275186","EML PAYMENTS LTD",3.89,0.8,1.175,0.65
"275289","THE A2 MILK COMPANY LTD",6.43,6.12,4.56,6.85
"275290","KILAND LTD",1.19,1.3,1.915,NA
"275342","EVE HEALTH GROUP LIMITED",0.004,0.001,0.001,0.001
"275465","VDM GROUP LTD",0.002,0.001,0.001,NA
"275521","RED HILL MINERALS LTD",3.94,3.67,4.7,3.8
"275680","CENTRAL PETROLEUM LTD",0.11,0.085,0.052,0.0545
"275872","CHALICE MINING LTD",6.39,3.93,2.32,1.54
"275874","ENCOUNTER RESOURCES",0.22,0.12,0.295,0.45
"275895","TERRAIN MINERALS LTD",0.009,0.007,0.005,0.0045
"275903","ENECO REFRESH LTD",0.031,0.016,0.023,0.01
"276539","STRICKLAND METALS LTD",0.057,0.04,0.069,0.095
"276547","MAGNETITE MINES LTD",0.025,0.025,0.295,0.19
"276602","ACTIVEX LIMITED",0.14,0.032,0.016,0.005
"276762","CAP-XX",0.057,0.04,0.0148,0.0018
"277181","CASTLE MINERALS LTD",0.013,0.025,0.0095,0.003
"277182","LORD RESOURCES LIMITED",NA,0.28,0.07,0.032
"277364","LUMIRA ENERGY LIMITED",NA,NA,NA,NA
"277589","PRAEMIUM LTD",1.075,0.67,0.595,0.585
"277807","A-CAP ENERGY LTD",0.077,0.074,0.072,NA
"277809","SKY AND SPACE COMPANY LTD",NA,NA,NA,NA
"277814","SYMBIO HOLDINGS LTD",6.64,3.18,2.64,NA
"277854","PLATINA RESOURCES LIMITED",0.064,0.021,0.027,0.021
"277902","AURA ENERGY LTD",0.21,0.31,0.34,0.17
"277955","EDEN INNOVATIONS LTD",0.021,0.0095,0.003,0.002
"277956","EQ RESOURCES LTD",0.067,0.048,0.074,0.051
"278101","CAPITOL HEALTH LTD",0.37,0.315,0.21,0.365
"278110","REY RESOURCES LTD",0.19,0.12,0.18,0.036
"278186","RETAIL FOOD GROUP LTD",0.078,0.053,0.051,0.067
"278196","NAGAMBIE RESOURCES LTD",0.074,0.083,0.021,0.015
"278209","BRAVURA SOLUTIONS LTD",3.08,1.23,0.745,1.375
"278229","AUSTRALIAN DAIRY NUTRITIONAL",0.054,0.068,0.018,0.018
"278405","CENTREX LIMITED",0.045,0.14,0.074,0.04
"278452","AXP ENERGY LIMITED",0.007,0.005,0.001,0.001
"278457","GLADIATOR RESOURCES LTD",0.037,0.017,0.023,0.017
"278526","CATALYST METALS LTD",1.88,1.29,0.565,2.75
"278546","EMECO HOLDINGS LTD",1.055,0.83,0.63,0.76
"278576","INVESTOR CENTRE LIMITED",0.029,0.054,0.042,0.006
"278579","REDSTONE RESOURCES LTD",0.011,0.007,0.009,0.004
"278629","CASSIUS MINING LTD",0.019,0.035,0.031,0.006
"278652","CLEVER CULTURE SYSTEMS LTD",0.12,0.083,0.011,0.016
"278671","IRONBARK ZINC LTD",0.039,0.014,0.007,0.002
"278749","CZR RESOURCES LTD",0.008,0.017,0.145,0.275
"278786","AMA GROUP LTD",0.445,0.23,0.042,0.057
"278953","COGENT DEVELOPMENT GROUP LTD",0.011,0.011,0.011,NA
"279175","BLUGLASS LTD",0.034,0.029,0.039,0.025
"279180","CRITICA LIMITED",0.052,0.023,0.01,0.015
"279213","WILUNA MINING CORP LTD",1.005,0.205,NA,NA
"279314","TUNGSTEN METALS GROUP LTD",NA,NA,NA,NA
"279350","AVENIRA LTD",0.008,0.012,0.011,0.011
"279407","BEACON MINERALS LTD",0.031,0.025,0.025,0.022
"279419","EMPEROR ENERGY LTD",0.048,0.035,0.013,0.017
"279428","PATERSON RESOURCES LTD",0.048,0.032,0.031,0.019
"279456","EVEREST METALS CORPORATION",0.005,0.0025,0.1175,NA
"279626","DREADNOUGHT RESOURCES LTD",0.036,0.097,0.047,0.016
"281423","NEW AGE EXPLORATION LTD",0.012,0.008,0.006,0.006
"281428","CARAVEL MINERALS LTD",0.38,0.205,0.16,0.18
"281429","SWICK MINING SERVICES LTD",0.285,NA,NA,NA
"281439","SALT LAKE POTASH LTD",0.31,NA,NA,NA
"281462","WALKABOUT RESOURCES LTD",0.2,0.215,0.115,0.1
"281479","ELEMENT 25 LTD",1.87,0.755,0.41,0.335
"281517","RENEGADE EXPLORATION LTD",0.007,0.006,0.01,0.009
"281519","PROBIOTEC LIMITED",2.2,2.2,2.64,NA
"281520","XRF SCIENTIFIC LTD",0.66,0.655,1.02,1.68
"281532","NORTHERN MINERALS LTD",0.043,0.041,0.029,0.02
"281658","PEAK RARE EARTHS LIMITED",0.091,0.435,0.375,0.19
"281668","IMPACT MINERALS LTD",0.015,0.007,0.013,0.013
"281755","ATHENA RESOURCES LTD",0.02,0.009,0.006,0.006
"281762","ARGO EXPLORATION LTD",NA,NA,NA,NA
"281805","GOOD DRINKS AUSTRALIA LTD",0.09,0.73,0.41,0.265
"281815","AMANI GOLD LTD",0.001,0.0015,0.001,0.001
"281816","ENGENCO LTD",0.49,0.415,0.305,0.185
"282001","BCI MINERALS LTD",0.39,0.225,0.265,0.29
"282003","FIREFLY RESOURCES LTD",0.1,NA,NA,NA
"282037","PTB GROUP LTD",0.955,1.575,NA,NA
"282038","BUDDY TECHNOLOGIES LTD",0.019,NA,NA,NA
"282091","ARGENT BIOPHARMA LIMITED",0.061,0.015,0.002,0.35
"282092","PROTEAN ENERGY LTD",0.01,0.008,0.008,0.008
"282142","LIONTOWN RESOURCES LTD",1.44,1.49,2.94,0.805
"282223","SMART PARKING LTD",0.2,0.23,0.33,0.59
"282303","ENERGY ONE LTD",5.31,4.9,5.39,5.01
"282353","SOVEREIGN METALS LTD",0.5,0.375,0.41,0.715
"282372","SILVER MINES LTD",0.185,0.165,0.17,0.091
"282382","QUBE HOLDINGS LTD",3.3,2.48,2.87,3.95
"282461","EMPIRE RESOURCES LTD",0.012,0.008,0.004,0.003
"282481","RBR GROUP LTD",0.006,0.004,0.003,0.001
"282583","ASPIRE MINING LTD",0.08,0.1,0.09,NA
"282852","NEXUS MINERALS LTD",0.32,0.205,0.05,0.046
"282939","AUSTRALIAN VANADIUM LTD",0.023,0.034,0.029,0.014
"282963","CREAT RESOURCES HOLDINGS LTD",NA,NA,NA,NA
"282971","LINCOLN MINERALS LTD",0.008,0.008,0.006,0.006
"283014","ARTEMIS RESOURCES LTD",0.082,0.049,0.028,0.013
"283452","SUNSTONE METALS LTD",0.022,0.036,0.017,0.005
"283454","CARNAVALE RESOURCES LTD",0.006,0.007,0.007,0.004
"283459","SCORPION MINERALS LTD",0.059,0.073,0.055,0.019
"284142","HIGH PEAK ROYALTIES LTD",0.052,0.066,0.065,0.063
"284182","INVESTIGATOR RESOURCES LTD",0.059,0.043,0.039,0.037
"284209","MAGNETIC RESOURCES",1.64,0.965,0.8,1.325
"284312","VIRIDIS MINING AND MINERALS",NA,0.27,0.85,0.705
"284393","XREF LTD",0.535,0.31,0.2,0.15
"284447","ADELONG GOLD LIMITED",0.004,0.001,0.007,0.004
"284464","KASBAH RESOURCES LTD",NA,NA,NA,NA
"284465","KEY PETROLEUM LTD",0.003,0.0015,0.0015,0.001
"284527","AURELIA METALS LTD",0.3,0.2,0.089,0.175
"284611","OKLO RESOURCES LTD",0.115,NA,NA,NA
"284619","NANOSONICS LTD",6.31,3.46,4.22,3.69
"284635","DEVELOP GLOBAL LIMITED",0.52,2.51,3.45,2.48
"284647","DART MINING NL",0.12,0.074,0.021,0.016
"284658","MEMPHASYS LTD",0.066,0.018,0.013,0.009
"284661","PEEL MINING LTD",0.25,0.15,0.12,0.11
"284683","SLATER & GORDON LTD",0.755,0.53,NA,NA
"284698","3D ENERGI LIMITED",0.057,0.053,0.056,0.07
"284712","ALARA RESOURCES LTD",0.018,0.039,0.036,0.035
"284760","ZENITH MINERALS LTD",0.205,0.28,0.11,0.049
"284805","ASCIANO LTD",NA,NA,NA,NA
"284808","WHITEHAVEN COAL LIMITED",3.23,9.01,7.11,7.22
"284813","CHESSER RESOURCES LTD",0.14,0.079,0.105,NA
"284824","WESTERN YILGARN NL",0.003,0.125,0.092,0.025
"284905","TRUSCOTT MINING CORP",0.03,0.033,0.058,0.072
"284961","VENUS METALS CORP LTD",0.185,0.15,0.125,0.061
"285012","AEON METALS LTD",0.057,0.03,0.015,NA
"285044","ADELAIDE ENERGY LTD",NA,NA,NA,NA
"285070","GREAT WESTERN EXPLORATION",0.19,0.0695,0.045,0.034
"285096","CONICO LTD",0.05,0.038,0.006,0.002
"285130","ENTERPRISE METALS LTD",0.014,0.011,0.004,0.004
"285158","REEDY LAGOON CORP LTD",0.025,0.014,0.006,0.003
"285191","VICTORY METALS LIMITED",0.22,0.175,0.185,0.385
"285229","VGI HEALTH TECHNOLOGY LIMITE",0.25,0.03,0.02,0.02
"285235","MAYNE PHARMA GROUP LTD",0.285,0.275,3.25,4.59
"285244","INTRA ENERGY CORP LTD",0.009,0.007,0.005,0.001
"285335","TYRANNA RESOURCES LTD",0.007,0.043,0.017,0.005
"285352","PATRYS LTD",0.043,0.02,0.007,0.006
"285372","TPC CONSOLIDATED LTD",3.25,2.9,5.26,10.05
"285491","BOSS ENERGY LIMITED",0.235,2.64,4.85,3.29
"285561","DRAGON MOUNTAIN GOLD LTD",0.02,0.012,0.009,0.006
"285605","MINT PAYMENTS LTD",NA,NA,NA,NA
"285849","XTC LITHIUM LIMITED",0.002,0.008,0.001,NA
"285927","ARCHER MATERIALS LTD",1.735,0.785,0.475,0.225
"285929","RAREX LTD",0.1,0.057,0.033,0.012
"285933","NEW STANDARD ENERGY LIMITED",NA,NA,NA,NA
"285947","HEXIMA LTD",0.485,0.015,0.022,0.017
"286001","NRW HOLDINGS LTD",1.565,2.38,2.71,3.58
"286231","KING RIVER RESOURCES LTD",0.027,0.015,0.0095,0.009
"286427","AGRIMIN LTD",0.475,0.365,0.195,0.16
"286456","REX MINERALS LTD",0.25,0.21,0.17,0.465
"286869","ACTINOGEN MEDICAL LTD",0.125,0.089,0.02,0.024
"286872","AUSTRALIAN SILICA QUARTZ GRP",0.085,0.065,0.05,0.022
"286933","ALPHA HPA LTD",0.505,0.43,0.775,1.105
"286936","EMPIRED LTD",1.34,NA,NA,NA
"286943","CONSOLIDATED FINANCIAL HLDGS",0.037,0.037,NA,NA
"286945","PILBARA MINERALS LTD",2.05,4.56,4.3,3.27
"286987","IMPEDIMED LTD",0.125,0.063,0.175,0.056
"286990","GBM RESOURCES LTD",0.115,0.038,0.015,0.009
"287178","APOLLO MINERALS LTD",0.096,0.053,0.027,0.025
"287232","SUNRISE ENERGY METALS LTD",1.59,2.4,0.77,0.415
"287251","SUPERIOR RESOURCES LTD",0.013,0.049,0.025,0.008
"287272","HAWSONS IRON LTD",0.079,0.4,0.041,0.026
"287277","HRL HOLDINGS LTD",0.115,NA,NA,NA
"287279","SILVER LAKE RESOURCES LTD",1.34,1.18,0.845,NA
"287291","GREEN CRITICAL MINERALS LTD",0.018,0.012,0.007,0.002
"287411","MARMOTA LTD",0.046,0.0495,0.035,0.0365
"287417","RHINOMED LTD",0.33,0.155,0.036,NA
"287431","SOUTHERN CROSS ELEC ENGR",0.64,0.65,0.81,1.835
"287470","ALCHEMY RESOURCES LTD",0.013,0.027,0.0115,0.008
"287496","ALLKEM LIMITED",8.69,13.85,11.76,NA
"287503","CHALLENGER GOLD LTD",0.3,0.155,0.08,NA
"287504","MALLEE RESOURCES LIMITED",0.7,0.7,NA,NA
"287580","SAUNDERS INTL LTD",0.77,1,1.01,0.89
"287595","ALLEGRA MEDICAL TECHNOLOGIES",0.23,0.093,0.061,NA
"287617","LATITUDE 66 LTD",0.005,0.004,0.0025,NA
"287624","KINGSROSE MINING LIMITED",0.048,0.052,0.048,0.037
"287628","BARDOC GOLD LTD",0.046,NA,NA,NA
"287633","NEX METALS EXPLORATION LTD",0.041,0.035,0.014,0.043
"287690","TASMEA LIMITED",NA,NA,NA,2.15
"287692","EMMERSON RESOURCES LTD",0.066,NA,0.063,0.043
"287856","CANN GLOBAL LTD",0.004,0.021,NA,NA
"287866","SCOTGOLD RESOURCES LTD",0.86,0.62,NA,NA
"287875","E79 GOLD MINES LIMITED",NA,0.1,0.07,0.028
"287877","SI6 METALS LIMITED",0.012,0.006,0.008,0.001
"287890","LASERBOND LIMITED",0.94,0.8,0.845,0.64
"287926","EAST ENERGY RESOURCES LTD",0.036,NA,NA,NA
"287929","WEST WITS MINING LTD",0.044,0.016,0.014,0.015
